"","end_location_lat","end_location_long","start_location_lat","start_location_long","total_rides","start_dist_from_bus","end_dist_from_bus","start_lat_bin","start_long_bin","start_grid_cell"
"85",30.18,-97.77,30.13,-97.78,18,11342.6036926832,1530.18095132315,2,1,"2-1"
"86",30.18,-97.77,30.16,-97.79,20,1631.18904507838,1530.18095132315,2,1,"2-1"
"87",30.18,-97.77,30.16,-97.69,40,13200.9054913654,1530.18095132315,2,2,"2-2"
"88",30.18,-97.77,30.18,-97.77,21,1530.18095132315,1530.18095132315,2,1,"2-1"
"89",30.18,-97.77,30.2,-97.67,16,3878.94046085171,1530.18095132315,2,3,"2-3"
"90",30.18,-97.77,30.26,-97.74,11,784.850728204676,1530.18095132315,3,2,"3-2"
"91",30.18,-97.77,30.27,-97.75,24,277.629227185794,1530.18095132315,3,1,"3-1"
"92",30.18,-97.77,30.27,-97.74,52,670.185417296239,1530.18095132315,3,2,"3-2"
"93",30.18,-97.76,30.19,-97.77,10,499.55325173355,500.036280725078,2,1,"2-1"
"94",30.18,-97.76,30.27,-97.74,13,670.185417296239,500.036280725078,3,2,"3-2"
"95",30.18,-97.75,30.22,-97.76,12,1343.6875227941,304.528510643552,2,1,"2-1"
"96",30.18,-97.75,30.22,-97.75,54,1472.79105153058,304.528510643552,2,1,"2-1"
"97",30.18,-97.7,30.2,-97.67,22,3878.94046085171,5729.98140123956,2,3,"2-3"
"98",30.18,-97.7,30.27,-97.75,15,277.629227185794,5729.98140123956,3,1,"3-1"
"99",30.18,-97.7,30.27,-97.74,16,670.185417296239,5729.98140123956,3,2,"3-2"
"100",30.18,-97.69,30.21,-97.72,13,1836.53530317668,6334.56021353526,2,2,"2-2"
"101",30.18,-97.66,30.2,-97.67,11,3878.94046085171,8381.59015073656,2,3,"2-3"
"102",30.18,-97.66,30.27,-97.74,11,670.185417296239,8381.59015073656,3,2,"3-2"
"103",30.19,-97.79,30.2,-97.67,19,3878.94046085171,322.755752052417,2,3,"2-3"
"104",30.19,-97.79,30.23,-97.78,10,629.927423118013,322.755752052417,2,1,"2-1"
"105",30.19,-97.79,30.25,-97.77,13,781.800677181647,322.755752052417,3,1,"3-1"
"106",30.19,-97.79,30.26,-97.74,13,784.850728204676,322.755752052417,3,2,"3-2"
"107",30.19,-97.79,30.26,-97.73,16,450.62176487427,322.755752052417,3,2,"3-2"
"108",30.19,-97.79,30.26,-97.72,11,971.373121653458,322.755752052417,3,2,"3-2"
"109",30.19,-97.79,30.27,-97.75,22,277.629227185794,322.755752052417,3,1,"3-1"
"110",30.19,-97.79,30.27,-97.74,41,670.185417296239,322.755752052417,3,2,"3-2"
"111",30.19,-97.78,30.15,-97.74,14,2244.25409166681,809.106599196678,2,2,"2-2"
"112",30.19,-97.78,30.19,-97.78,31,809.106599196678,809.106599196678,2,1,"2-1"
"113",30.19,-97.78,30.2,-97.67,18,3878.94046085171,809.106599196678,2,3,"2-3"
"114",30.19,-97.78,30.24,-97.76,10,461.129586601633,809.106599196678,3,1,"3-1"
"115",30.19,-97.78,30.24,-97.73,10,848.513132666472,809.106599196678,3,2,"3-2"
