veh_lat_rnd,veh_long_rnd,rides_on,rides_off,raw_on,raw_off
30.28,-97.62,3718,3616,3718,3616
30.29,-97.78,17791,15459,17791,15459
30.29,-97.77,4174,3507,4174,3507
30.29,-97.76,3,4,3,4
30.29,-97.75,42482,39360,42482,39360
30.29,-97.74,668564,690951,668564,690951
30.29,-97.73,505600,451554,505600,451554
30.29,-97.72,29197,26496,29197,26496
30.29,-97.71,19840,19339,19840,19339
30.29,-97.7,10639,9697,10639,9697
30.29,-97.69,1214,1461,1214,1461
30.29,-97.68,21772,22814,21772,22814
30.29,-97.67,1705,1507,1705,1507
30.29,-97.66,11,19,11,19
30.29,-97.65,1110,885,1110,885
30.29,-97.64,12,11,12,11
30.29,-97.63,23273,23293,23273,23293
30.29,-97.62,242,142,242,142
30.3,-98.99,1,1,1,1
30.3,-97.78,1087,1311,1087,1311
30.3,-97.77,1895,1708,1895,1708
30.3,-97.76,1069,1108,1069,1108
30.3,-97.75,1304,1530,1304,1530
30.3,-97.74,111211,108270,111211,108270
30.3,-97.73,66603,62010,66603,62010
30.3,-97.72,117201,106853,117201,106853
30.3,-97.71,16398,16911,16398,16911
30.3,-97.7,12610,12370,12610,12370
30.3,-97.69,7779,6669,7779,6669
30.3,-97.68,42269,41716,42269,41716
30.3,-97.67,2172,2529,2172,2529
30.3,-97.66,19018,18250,19018,18250
30.3,-97.65,17324,15551,17324,15551
30.3,-97.64,3977,3660,3977,3660
30.3,-97.63,2161,1652,2161,1652
30.3,-97.62,5,28,5,28
30.31,-97.76,3168,3735,3168,3735
30.31,-97.75,7042,7274,7042,7274
30.31,-97.74,34702,35746,34702,35746
30.31,-97.73,111816,104905,111816,104905
30.31,-97.72,62370,58023,62370,58023
30.31,-97.71,43466,49522,43466,49522
30.31,-97.7,20470,13342,20470,13342
30.31,-97.69,53428,49396,53428,49396
30.31,-97.68,20505,19974,20505,19974
30.31,-97.67,57244,52576,57244,52576
30.31,-97.66,29380,31198,29380,31198
30.31,-97.65,3551,3458,3551,3458
30.31,-97.64,491,709,491,709
30.31,-97.62,1918,1670,1918,1670
30.31,-97.61,0,0,0,0
30.32,-97.76,61,65,61,65
30.32,-97.75,2626,2352,2626,2352
30.32,-97.74,23696,27953,23696,27953
30.32,-97.73,34343,33598,34343,33598
30.32,-97.72,14940,15911,14940,15911
30.32,-97.71,36896,37394,36896,37394
30.32,-97.7,35152,33673,35152,33673
30.32,-97.69,27596,30605,27596,30605
30.32,-97.68,7938,7399,7938,7399
30.32,-97.67,48,427,48,427
30.32,-97.66,2086,3171,2086,3171
30.32,-97.63,2,0,2,0
