STOP_ID,STOP_NAME,STOP_ABBR,STREET_NMB,ON_STREET,AT_STREET,CITY,ZIP,BAY,STOP_TYPE,PLACEMENT,CORNER,STATUS,LATITUDE,LONGITUDE,SOURCE,SOURCEDATE
"611",5007 Lamar/51st,S43,"005007",LAMAR,51ST,AUSTIN,"78751",,Bus Stop,Nearside,Southeast,Active,30.31841105000,-97.73094729000,Capital Metro,2017-08-17
"612",5301 Lamar/North Loop,S45,"005301",LAMAR,NORTH LOOP,AUSTIN,"78751",,Bus Stop,Farside,Northeast,Active,30.32131934000,-97.72909732000,Capital Metro,2017-08-17
"613",5419 Lamar/Nelray,S46,"005419",LAMAR,NELRAY,AUSTIN,"78751",,Bus Stop,Nearside,Southeast,Active,30.32278000000,-97.72819000000,Capital Metro,2017-08-17
"614",5555 Lamar/Nelray,S47,"005555",LAMAR,NELRAY,AUSTIN,"78751",,Bus Stop,Mid-Block,Northeast,Active,30.32408628000,-97.72736752000,Capital Metro,2017-08-17
"615",5827 Lamar/Koenig,235NB,"005827",LAMAR,KOENIG,AUSTIN,"78751",,Bus Stop,Nearside,Southeast,Active,30.32564412000,-97.72637114000,Capital Metro,2017-08-17
"617",6201 Lamar/Denson,S52,"006201",LAMAR,DENSON,AUSTIN,"78752",,Bus Stop,Nearside,Southeast,Active,30.33018112000,-97.72353340000,Capital Metro,2017-08-17
"618",6541 Lamar/Brentwood,S53,"006541",LAMAR,BRENTWOOD,AUSTIN,"78752",,Bus Stop,Nearside,Southeast,Active,30.33387000000,-97.72121000000,Capital Metro,2017-08-17
"619",6901 Lamar/Justin,S55,"006901",LAMAR,JUSTIN,AUSTIN,"78752",,Bus Stop,Nearside,Southeast,Active,30.33654102000,-97.71951065000,Capital Metro,2017-08-17
"620",7200 Lamar/St Johns,S57,"007200",LAMAR,ST JOHNS,AUSTIN,"78757",,Bus Stop,Nearside,Northwest,Active,30.33957656000,-97.71791418000,Capital Metro,2017-08-17
"622",7545 Lamar/Morrow,S60,"007545",LAMAR,MORROW,AUSTIN,"78752",,Bus Stop,Nearside,Southeast,Active,30.34385000000,-97.71492000000,Capital Metro,2017-08-17
"623",8071 Lamar/Research,S1850,"008071",LAMAR,RESEARCH,AUSTIN,"78753",,Bus Stop,Mid-Block,Northeast,Active,30.34828348000,-97.71155795000,Capital Metro,2017-08-17
"624",8415 Lamar/Thurmond,S61,"008415",LAMAR,THURMOND,AUSTIN,"78753",,Bus Stop,Nearside,Southeast,Active,30.35312060000,-97.70572970000,Capital Metro,2017-08-17
"626",8631 Lamar/Elliott,S8,"008631",LAMAR,ELLIOTT,AUSTIN,"78753",,Bus Stop,Nearside,Southeast,Active,30.35517358000,-97.70292677000,Capital Metro,2017-08-17
"627",8745 Lamar/Deen,S65,"008745",LAMAR,DEEN,AUSTIN,"78753",,Bus Stop,Nearside,Southeast,Active,30.35640487000,-97.70123967000,Capital Metro,2017-08-17
"628",8911 Lamar/Carpenter,S67,"008911",LAMAR,CARPENTER,AUSTIN,"78753",,Bus Stop,Nearside,Southeast,Active,30.35813794000,-97.69962717000,Capital Metro,2017-08-17
"631",Lott/Chico,"252","001020",LOTT,CHICO,AUSTIN,"78721",,Bus Stop,Nearside,Northwest,Active,30.26882000000,-97.68306000000,Capital Metro,2017-08-17
"632",3810 Oak Springs/Springdale,SPOSSWB,"003810",OAK SPRINGS,SPRINGDALE,AUSTIN,"78721",,Bus Stop,Farside,Northwest,Active,30.27366180000,-97.69085023000,Capital Metro,2017-08-17
"633",3700 Oak Springs/Springdale,S604,"003700",OAK SPRINGS,SPRINGDALE,AUSTIN,"78721",,Bus Stop,Mid-Block,Northwest,Active,30.27377341000,-97.69277082000,Capital Metro,2017-08-17
"634",3200 Oak Springs/Airport,84SB,"003200",OAK SPRINGS,AIRPORT,AUSTIN,"78702",,Bus Stop,Farside,Northwest,Active,30.27361000000,-97.69835000000,Capital Metro,2017-08-17
"635",Oak Springs/Ridgeway,S1854,"002700",OAK SPRINGS,RIDGEWAY,AUSTIN,"78702",,Bus Stop,Nearside,Northeast,Active,30.27255583000,-97.70456793000,Capital Metro,2017-08-17
"636",2600 Rosewood/Ridgeway,S1855,"002600",ROSEWOOD,RIDGEWAY,AUSTIN,"78702",,Bus Stop,Mid-Block,Northwest,Active,30.27250917000,-97.70624079000,Capital Metro,2017-08-17
"637",2420 Rosewood/Bedford,S612,"002420",ROSEWOOD,BEDFORD,AUSTIN,"78702",,Bus Stop,Farside,Northwest,Active,30.27231946000,-97.70829629000,Capital Metro,2017-08-17
"638",2370 Rosewood/Hargrave,S614,"002370",ROSEWOOD,HARGRAVE,AUSTIN,"78702",,Bus Stop,Mid-Block,Northwest,Active,30.27123633000,-97.71064886000,Capital Metro,2017-08-17
"642",Rosewood/San Bernard,S626,"001300",ROSEWOOD,SAN BERNARD,AUSTIN,"78702",,Bus Stop,Nearside,Northeast,Active,30.26875576000,-97.72550739000,Capital Metro,2017-08-17
"645",E. 11th/Sabine,S1858,"000700",11TH,SABINE,AUSTIN,"78701",,Bus Stop,Nearside,Northeast,Active,30.27089304000,-97.73421237000,Capital Metro,2017-08-17
"657",907 11th/Branch,S632,"000907",11TH,BRANCH,AUSTIN,"78702",,Bus Stop,Farside,Southeast,Active,30.26986048000,-97.73124103000,Capital Metro,2017-08-17
