"","veh_lat_rnd","veh_long_rnd","ons","offs","bus_lat_bin","bus_long_bin","bus_ride_grid_cell"
"191",30.31,-97.62,118,104,3,4,"3-4"
"192",30.32,-97.76,0,0,3,1,"3-1"
"193",30.32,-97.75,228,182,3,1,"3-1"
"194",30.32,-97.74,1971,2280,3,2,"3-2"
"195",30.32,-97.73,3168,2906,3,2,"3-2"
"196",30.32,-97.72,1284,1475,3,2,"3-2"
"197",30.32,-97.71,2849,2804,3,2,"3-2"
"198",30.32,-97.7,3252,2994,3,2,"3-2"
"199",30.32,-97.69,2232,2513,3,2,"3-2"
"200",30.32,-97.68,556,497,3,3,"3-3"
"201",30.32,-97.67,1,44,3,3,"3-3"
"202",30.32,-97.66,123,151,3,3,"3-3"
"203",30.32,-97.63,2,0,3,3,"3-3"
"204",30.32,-97.62,1,1,3,4,"3-4"
"205",30.33,-97.76,112,113,3,1,"3-1"
"206",30.33,-97.75,94,90,3,1,"3-1"
"207",30.33,-97.74,5608,5524,3,2,"3-2"
"208",30.33,-97.73,3806,3741,3,2,"3-2"
"209",30.33,-97.72,3019,3314,3,2,"3-2"
"210",30.33,-97.71,11330,10943,3,2,"3-2"
"211",30.33,-97.7,3468,3677,3,2,"3-2"
"212",30.33,-97.69,6364,5924,3,2,"3-2"
"213",30.33,-97.68,42,340,3,3,"3-3"
"214",30.33,-97.67,288,251,3,3,"3-3"
"215",30.33,-97.66,217,258,3,3,"3-3"
"216",30.34,-97.76,388,463,3,1,"3-1"
"217",30.34,-97.75,60,62,3,1,"3-1"
"218",30.34,-97.74,348,313,3,2,"3-2"
"219",30.34,-97.73,248,210,3,2,"3-2"
"220",30.34,-97.72,5044,4918,3,2,"3-2"
"221",30.34,-97.71,755,652,3,2,"3-2"
"222",30.34,-97.7,414,211,3,2,"3-2"
"223",30.34,-97.69,9698,9493,3,2,"3-2"
"224",30.34,-97.68,1360,1181,3,3,"3-3"
"225",30.34,-97.67,44,61,3,3,"3-3"
"226",30.34,-97.66,84,92,3,3,"3-3"
"227",30.35,-97.78,1,1,3,1,"3-1"
"228",30.35,-97.76,1220,1281,3,1,"3-1"
"229",30.35,-97.75,2982,3336,3,1,"3-1"
"230",30.35,-97.74,898,1220,3,2,"3-2"
"231",30.35,-97.73,3226,3692,3,2,"3-2"
"232",30.35,-97.72,410,361,3,2,"3-2"
"233",30.35,-97.71,25397,24574,3,2,"3-2"
"234",30.35,-97.7,1177,1293,3,2,"3-2"
"235",30.35,-97.69,2,2,3,2,"3-2"
"236",30.35,-97.68,2273,2071,3,3,"3-3"
"237",30.36,-97.76,50,52,4,1,"4-1"
"238",30.36,-97.75,5695,4560,4,1,"4-1"
"239",30.36,-97.74,3223,3005,4,2,"4-2"
"240",30.36,-97.73,4563,4021,4,2,"4-2"
"241",30.36,-97.72,2409,2561,4,2,"4-2"
"242",30.36,-97.71,87,51,4,2,"4-2"
"243",30.36,-97.7,15881,14400,4,2,"4-2"
"244",30.36,-97.69,4461,4801,4,2,"4-2"
"245",30.36,-97.68,1227,1027,4,3,"4-3"
"246",30.37,-97.76,396,289,4,1,"4-1"
"247",30.37,-97.75,148,311,4,1,"4-1"
"248",30.37,-97.74,244,184,4,2,"4-2"
"249",30.37,-97.73,1320,1480,4,2,"4-2"
"250",30.37,-97.72,21085,21339,4,2,"4-2"
"251",30.37,-97.71,2107,2647,4,2,"4-2"
"252",30.37,-97.7,1776,1717,4,2,"4-2"
"253",30.37,-97.69,2335,2055,4,2,"4-2"
"254",30.37,-97.67,116,104,4,3,"4-3"
"255",30.38,-97.74,0,0,4,2,"4-2"
"256",30.38,-97.73,879,684,4,2,"4-2"
"257",30.38,-97.72,9750,10027,4,2,"4-2"
"258",30.38,-97.71,767,665,4,2,"4-2"
"259",30.38,-97.69,2248,2448,4,2,"4-2"
"260",30.38,-97.68,378,199,4,3,"4-3"
"261",30.38,-97.67,207,204,4,3,"4-3"
"262",30.38,-97.66,368,266,4,3,"4-3"
"263",30.39,-97.76,6,7,4,1,"4-1"
"264",30.39,-97.75,920,1044,4,1,"4-1"
"265",30.39,-97.74,2458,2322,4,2,"4-2"
"266",30.39,-97.73,2050,2125,4,2,"4-2"
"267",30.39,-97.72,4251,4169,4,2,"4-2"
"268",30.39,-97.71,1454,1402,4,2,"4-2"
"269",30.39,-97.7,129,140,4,2,"4-2"
"270",30.39,-97.69,86,49,4,2,"4-2"
"271",30.39,-97.68,199,170,4,3,"4-3"
"272",30.39,-97.67,0,2,4,3,"4-3"
"273",30.39,-97.66,191,164,4,3,"4-3"
"274",30.4,-97.75,2459,2365,4,1,"4-1"
"275",30.4,-97.74,155,333,4,2,"4-2"
"276",30.4,-97.73,186,189,4,2,"4-2"
"277",30.4,-97.72,3524,3627,4,2,"4-2"
"278",30.4,-97.71,466,543,4,2,"4-2"
"279",30.4,-97.7,1702,1423,4,2,"4-2"
"280",30.4,-97.68,104,164,4,3,"4-3"
"281",30.4,-97.67,199,188,4,3,"4-3"
"282",30.4,-97.66,217,197,4,3,"4-3"
"283",30.41,-97.75,695,492,4,1,"4-1"
"284",30.41,-97.74,54,115,4,2,"4-2"
"285",30.41,-97.72,70,44,4,2,"4-2"
"286",30.41,-97.71,299,354,4,2,"4-2"
"287",30.41,-97.7,1033,1006,4,2,"4-2"
"288",30.41,-97.69,493,549,4,2,"4-2"
"289",30.41,-97.68,702,585,4,3,"4-3"
"290",30.41,-97.67,2,25,4,3,"4-3"
"291",30.41,-97.66,66,139,4,3,"4-3"
"292",30.41,-97.65,0,0,4,3,"4-3"
"293",30.42,-97.75,408,407,4,1,"4-1"
"294",30.42,-97.72,28,38,4,2,"4-2"
"295",30.42,-97.71,14,1,4,2,"4-2"
"296",30.42,-97.7,785,758,4,2,"4-2"
"297",30.42,-97.69,259,199,4,2,"4-2"
"298",30.42,-97.68,482,487,4,3,"4-3"
"299",30.42,-97.67,11662,11704,4,3,"4-3"
"300",30.42,-97.66,40,79,4,3,"4-3"
"301",30.43,-97.77,445,585,4,1,"4-1"
"302",30.43,-97.76,3743,3185,4,1,"4-1"
"303",30.43,-97.75,64,199,4,1,"4-1"
"304",30.43,-97.68,723,662,4,3,"4-3"
"305",30.43,-97.67,0,2,4,3,"4-3"
"306",30.43,-97.66,1,0,4,3,"4-3"
"307",30.43,-97.65,61,94,4,3,"4-3"
"308",30.44,-97.78,131,339,4,1,"4-1"
"309",30.44,-97.77,493,175,4,1,"4-1"
"310",30.44,-97.7,3905,3660,4,2,"4-2"
"311",30.44,-97.69,346,382,4,2,"4-2"
"312",30.44,-97.68,338,354,4,3,"4-3"
"313",30.44,-97.67,206,265,4,3,"4-3"
"314",30.44,-97.66,254,237,4,3,"4-3"
"315",30.45,-97.8,157,157,4,1,"4-1"
"316",30.45,-97.79,535,498,4,1,"4-1"
"317",30.45,-97.78,1,7,4,1,"4-1"
"318",30.45,-97.69,26,7,4,2,"4-2"
"319",30.46,-97.8,724,631,4,1,"4-1"
"320",30.46,-97.79,559,504,4,1,"4-1"
"321",30.47,-97.8,622,704,4,1,"4-1"
"322",30.47,-97.79,414,353,4,1,"4-1"
"323",30.48,-97.8,199,306,5,1,"5-1"
"324",30.48,-97.79,6639,6613,5,1,"5-1"
